Time Series,Ground Truth,Max Eigen Ratio,Variance of Eigen Ratio,Normalized Area Under Eigen Ratio,Min Eigen Threshold Value
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,12
a3.944444,NON-STOCHASTIC,27.567562047260115,9.948878398880378,27.650444044354273,12
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,12
a3.888889,NON-STOCHASTIC,21.329471257252393,8.334213455158793,28.267551558598996,12
a4.000000,NON-STOCHASTIC,43.17789725378,36.061767170136,34.17875402311321,12
a3.777778,NON-STOCHASTIC,29.191410575278727,12.950251256449755,28.92983807603745,13
lorenz,NON-STOCHASTIC,4105.394964158374,49238.673113460456,99.98230796705361,13
a3.722222,NON-STOCHASTIC,15.642543658928464,2.414014659162138,21.856069643768684,13
a3.666667,NON-STOCHASTIC,325.6179534493502,220.25163028773818,24.305039368618388,13
a3.611111,NON-STOCHASTIC,118.16381696666787,83.49877032096254,17.98343009742357,13
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,13
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,13
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,13
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,13
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,13
a3.944444,NON-STOCHASTIC,27.567562047260115,11.009958373803887,27.880991617887837,13
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,13
a3.888889,NON-STOCHASTIC,21.329471257252393,8.334213455158793,28.267551558598996,13
a4.000000,NON-STOCHASTIC,43.17789725378,35.262742096188624,34.835323397533564,13
a3.777778,NON-STOCHASTIC,29.191410575278727,12.39624214364663,29.68975954979734,14
lorenz,NON-STOCHASTIC,4105.394964158374,48079.68875789311,102.29050972997204,14
a3.722222,NON-STOCHASTIC,15.642543658928464,2.414014659162138,21.856069643768684,14
a3.666667,NON-STOCHASTIC,325.6179534493502,216.91704184875658,24.64685371945762,14
a3.611111,NON-STOCHASTIC,118.16381696666787,83.49877032096254,17.98343009742357,14
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,14
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,14
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,14
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,14
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,14
a3.944444,NON-STOCHASTIC,27.567562047260115,10.837264992530251,29.11741504850366,14
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,14
a3.888889,NON-STOCHASTIC,21.329471257252393,8.334213455158793,28.267551558598996,14
a4.000000,NON-STOCHASTIC,43.17789725378,36.30208420515684,35.42276458347237,14
a3.777778,NON-STOCHASTIC,29.191410575278727,12.39624214364663,29.68975954979734,15
lorenz,NON-STOCHASTIC,396759.6148688547,367763122.1682269,1804.1256341817864,15
a3.722222,NON-STOCHASTIC,15.642543658928464,2.414014659162138,21.856069643768684,15
a3.666667,NON-STOCHASTIC,325.6179534493502,219.39010130588917,25.288506459661733,15
a3.611111,NON-STOCHASTIC,118.16381696666787,83.49877032096254,17.98343009742357,15
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,15
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,15
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,15
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,15
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,15
a3.944444,NON-STOCHASTIC,27.567562047260115,10.624971993336011,29.606152144740207,15
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,15
a3.888889,NON-STOCHASTIC,21.329471257252393,9.28603531005218,29.066428671492666,15
a4.000000,NON-STOCHASTIC,43.17789725378,36.07830492589549,36.08336767596837,15
a3.777778,NON-STOCHASTIC,29.191410575278727,12.114128846439954,30.045914403174564,16
lorenz,NON-STOCHASTIC,396759.6148688547,362679312.0388765,1804.8156394189002,16
a3.722222,NON-STOCHASTIC,26.74012202303817,3.9620227289123338,22.62318596133378,16
a3.666667,NON-STOCHASTIC,325.6179534493502,219.39010130588917,25.288506459661733,16
a3.611111,NON-STOCHASTIC,118.16381696666787,83.49877032096254,17.98343009742357,16
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,16
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,16
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,16
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,16
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,16
a3.944444,NON-STOCHASTIC,27.567562047260115,10.384020903241026,30.463480256068213,16
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,16
a3.888889,NON-STOCHASTIC,21.329471257252393,9.28603531005218,29.066428671492666,16
a4.000000,NON-STOCHASTIC,43.17789725378,35.659047210814414,36.279006779141,16
a3.777778,NON-STOCHASTIC,29.191410575278727,11.490127383523552,31.34672909048565,17
lorenz,NON-STOCHASTIC,396759.6148688547,359366956.3672585,1805.8121716208248,17
a3.722222,NON-STOCHASTIC,26.74012202303817,3.9620227289123338,22.62318596133378,17
a3.666667,NON-STOCHASTIC,325.6179534493502,219.39010130588917,25.288506459661733,17
a3.611111,NON-STOCHASTIC,118.16381696666787,83.49877032096254,17.98343009742357,17
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,17
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,17
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,17
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,17
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,17
a3.944444,NON-STOCHASTIC,27.567562047260115,10.362351818007257,30.499571793346245,17
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,17
a3.888889,NON-STOCHASTIC,21.329471257252393,9.252534183518197,29.105207445176255,17
a4.000000,NON-STOCHASTIC,43.17789725378,35.659047210814414,36.279006779141,17
a3.777778,NON-STOCHASTIC,29.191410575278727,11.490127383523552,31.34672909048565,18
lorenz,NON-STOCHASTIC,396759.6148688547,359366956.3672585,1805.8121716208248,18
a3.722222,NON-STOCHASTIC,26.74012202303817,3.9620227289123338,22.62318596133378,18
a3.666667,NON-STOCHASTIC,325.6179534493502,219.39010130588917,25.288506459661733,18
a3.611111,NON-STOCHASTIC,118.16381696666787,83.49877032096254,17.98343009742357,18
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,18
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,18
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,18
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,18
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,18
a3.944444,NON-STOCHASTIC,27.567562047260115,10.32155924869241,30.530327317405156,18
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,18
a3.888889,NON-STOCHASTIC,40.256389058875946,12.068288414923574,29.97892456490315,18
a4.000000,NON-STOCHASTIC,43.17789725378,35.535914003014696,36.31937796152316,18
a3.777778,NON-STOCHASTIC,29.191410575278727,11.490127383523552,31.34672909048565,19
lorenz,NON-STOCHASTIC,396759.6148688547,357733552.29936224,1806.113452025724,19
a3.722222,NON-STOCHASTIC,26.74012202303817,3.9620227289123338,22.62318596133378,19
a3.666667,NON-STOCHASTIC,325.6179534493502,219.39010130588917,25.288506459661733,19
a3.611111,NON-STOCHASTIC,118.16381696666787,83.49877032096254,17.98343009742357,19
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,19
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,19
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,19
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,19
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,19
a3.944444,NON-STOCHASTIC,27.567562047260115,10.32155924869241,30.530327317405156,19
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,19
a3.888889,NON-STOCHASTIC,40.256389058875946,12.068288414923574,29.97892456490315,19
a4.000000,NON-STOCHASTIC,43.17789725378,35.05614109072263,36.50105438879405,19
